id_kecamatan,nama_kecamatan,id_kabupaten
139,BANYUMAS,9
140,GADING REJO,9
141,PAGELARAN,9
142,PAGELARAN UTARA,9
143,PARDASUKA,9
144,PRINGSEWU,9
145,SUKOHARJO,9
146,AIR NANINGAN,10
147,BANDAR NEGERI SEMUONG,10
148,BULOK,10
149,CUKUH BALAK,10
150,GISTING,10
151,GUNUNG ALIP,10
152,KLUMBAYAN,10
153,KLUMBAYAN BARAT,10
154,KOTA AGUNG,10
155,KOTA AGUNG BARAT,10
156,KOTA AGUNG TIMUR,10
157,LIMAU,10
158,PEMATANG SAWA,10
159,PUGUNG,10
160,PULAU PANGGUNG,10
161,SEMAKA,10
162,SUMBEREJO,10
163,TALANG PADANG,10
164,ULU BELU,10
165,WONOSOBO,10
166,BANJAR AGUNG,11
167,BANJAR BARU,11
168,BANJAR MARGO,11
169,DENTE TELADAS,11
170,GEDUNG AJI,11
171,GEDUNG AJI BARU,11
172,GEDUNG MENENG,11
173,MENGGALA,11
174,MENGGALA TIMUR,11
175,MERAKSA AJI,11
176,PENAWAR AJI,11
177,PENAWAR TAMA,11
178,RAWA JITU SELATAN,11
179,RAWA JITU TIMUR,11
180,RAWA PITU,11
181,BATU PUTIH,12
182,GUNUNG AGUNG,12
183,GUNUNG TERANG,12
184,LAMBU KIBANG,12
185,PAGAR DEWA,12
186,TULANG BAWANG TENGAH,12
187,TULANG BAWANG UDIK,12
188,TUMIJAJAR,12
189,WAY KENANGA,12
190,BAHUGA,13
191,BANJIT,13
192,BARADATU,13
193,BLAMBANGAN UMPU,13
194,BUAY BAHUGA,13
195,BUMI AGUNG,13
196,GUNUNG LABUHAN,13
197,KASUI,13
198,NEGARA BATIN,13
199,NEGERI AGUNG,13
200,NEGERI BESAR,13
201,PAKUAN RATU,13
202,REBANG TANGKAS,13
203,UMPU SEMENGUK,13
204,WAY TUBA,13
205,BUMI WARAS,14
206,ENGGAL,14
207,KEDAMAIAN,14
208,KEDATON,14
209,KEMILING,14
210,LABUHAN RATU,14
211,LANGKAPURA,14
212,PANJANG,14
213,RAJABASA,14
214,SUKABUMI,14
215,SUKARAME,14
216,TANJUNG SENANG,14
217,TANJUNG KARANG BARAT,14
218,TANJUNG KARANG PUSAT,14
219,TANJUNG KARANG TIMUR,14
220,TELUK BETUNG BARAT,14
221,TELUK BETUNG SELATAN,14
222,TELUK BETUNG TIMUR,14
223,TELUK BETUNG UTARA,14
224,WAY HALIM,14
225,METRO BARAT,15
226,METRO PUSAT,15
227,METRO SELATAN,15
228,METRO TIMUR,15
229,METRO UTARA,15
