id_desa,nama_desa,id_kecamatan,id_kabupaten
484,GANJAR AGUNG,225,15
485,GANJAR ASRI,225,15
486,GANJARAN,141,9
487,GANTI WARNO,76,4
488,GANTIMULYO,76,4
489,GARUNTANG,205,14
490,GARUT,161,10
491,GAYA BARU I,55,3
492,GAYA BARU II,55,3
493,GAYA BARU III,55,3
494,GAYA BARU IV,55,3
495,GAYA BARU V,36,3
496,GAYA BARU VI,55,3
497,GAYA BARU VII,55,3
498,GAYA BARU VIII,55,3
499,GAYAM,25,2
500,GAYAU,119,7
501,GAYAU SAKTI,51,3
502,GEBANG,122,7
503,GEDAU,134,8
504,GEDONG AIR,217,14
505,GEDONG MENENG,213,14
506,GEDONG MENENG BARU,213,14
507,GEDONG PAKUAN,221,14
508,GEDONG TATAAN,115,7
509,GEDUNG,149,10
510,GEDUNG AGUNG,18,2
511,GEDUNG AGUNG,160,10
512,GEDUNG AJI,49,3
513,GEDUNG AJI,170,11
514,GEDUNG ASRI,176,11
515,GEDUNG BANDAR RAHAYU,172,11
516,GEDUNG BANDAR REJO,172,11
517,GEDUNG BATIN,106,5
518,GEDUNG BATIN,203,13
519,GEDUNG BOGA,114,6
520,GEDUNG CAHYA KUNINGAN,130,8
521,GEDUNG DALEM,63,4
522,GEDUNG DALOM,123,7
523,GEDUNG GUMANTI,121,7
524,GEDUNG HARAPAN,18,2
525,GEDUNG HARAPAN,176,11
526,GEDUNG HARAPAN,199,13
527,GEDUNG HARTA,25,2
528,GEDUNG HARTA,49,3
529,GEDUNG JAMBU,155,10
530,GEDUNG JAYA,180,11
531,GEDUNG JAYA,198,13
532,GEDUNG JAYA,199,13
533,GEDUNG KARYA JITU,178,11
534,GEDUNG KETAPANG,104,5
535,GEDUNG MAKRIFAT,97,5
536,GEDUNG MENENG,172,11
537,GEDUNG MENENG BARU,172,11
538,GEDUNG MENONG,199,13
539,GEDUNG MULYA,113,6
540,GEDUNG NEGARA,97,5
541,GEDUNG NYAPAH,92,5
542,GEDUNG PAKUON,192,13
543,GEDUNG RAJA,97,5
544,GEDUNG RAM,113,6
545,GEDUNG RATU,33,3
546,GEDUNG RATU,187,12
547,GEDUNG REJO,192,13
548,GEDUNG REJO SAKTI,176,11
549,GEDUNG RIANG,203,13
550,GEDUNG SARI,33,3
551,GEDUNG SURIAN,7,1
552,GEDUNG WANI,71,4
553,GEDUNGWANI TIMUR,71,4
554,GELOMBANG PANJANG,197,13
555,GEMAHRIPAH,141,9
556,GERNING,121,7
557,GIHAM SUKAMAJU,11,1
558,GILANG TUNGGAL MAKARTA,184,12
559,GILIH KARANGJATI,49,3
560,GILIH SUKA NEGERI,88,5
561,GIRI MULYO,70,4
562,GIRI TUNGGAL,142,9
563,GIRIHARJO,190,13
564,GIRIKARTO,79,4
565,GIRIKLOPOMULYO,79,4
566,GISTANG,203,13
567,GISTING ATAS,150,10
568,GISTING BAWAH,150,10
569,GISTING JAYA,198,13
570,GISTING PERMAI,150,10
571,GONDANGREJO,76,4
572,GORAS JAYA,38,3
573,GOTONG ROYONG,218,14
574,GULAK GALIK,223,14
575,GUMUKMAS,141,9
576,GUMUKREJO,141,9
577,GUNUNG AGUNG,34,3
578,GUNUNG AGUNG,57,3
579,GUNUNG AGUNG,80,4
580,GUNUNG AGUNG,183,12
581,GUNUNG AGUNG,211,14
582,GUNUNG BARU,196,13
583,GUNUNG BATIN BARU,57,3
584,GUNUNG BATIN ILIR,57,3
585,GUNUNG BATIN UDIK,57,3
586,GUNUNG BESAR,91,5
587,GUNUNG BETUAH,85,5
588,GUNUNG CAHYA,201,13
589,GUNUNG DOH,147,10
590,GUNUNG GIJUL,91,5
591,GUNUNG HAJI,45,3
592,GUNUNG KASIH,159,10
593,GUNUNG KATON,107,5
594,GUNUNG KATUN,192,13
595,GUNUNG KATUN MALAI,187,12
596,GUNUNG KATUN TANJUNGAN,187,12
597,GUNUNG KEMALA,136,8
598,GUNUNG KEMALA TIMUR,136,8
599,GUNUNG KERAMAT,89,5
600,GUNUNG LABUHAN,104,5
601,GUNUNG LABUHAN,196,13
602,GUNUNG MAKNIBAI,102,5
603,GUNUNG MAS,70,4
604,GUNUNG MAS,221,14
605,GUNUNG MEGANG,160,10
606,GUNUNG MEKAR,67,4
607,GUNUNG MENANTI,188,12
608,GUNUNG MERAKSA,160,10
609,GUNUNG MULYO,80,4
610,GUNUNG PASIR JAYA,80,4
611,GUNUNG RAJA,102,5
612,GUNUNG RATU,3,1
613,GUNUNG RAYA,45,3
614,GUNUNG RAYA,70,4
615,GUNUNG RAYA,142,9
616,GUNUNG REJO,123,7
617,GUNUNG SADAR,91,5
618,GUNUNG SANGKARAN,193,13
619,GUNUNG SARI,41,3
620,GUNUNG SARI,89,5
621,GUNUNG SARI,124,7
622,GUNUNG SARI,164,10
623,GUNUNG SARI,184,12
624,GUNUNG SARI,196,13
625,GUNUNG SARI,202,13
626,GUNUNG SARI,206,14
627,GUNUNG SUGIH,4,1
628,GUNUNG SUGIH,41,3
629,GUNUNG SUGIH,116,7
630,GUNUNG SUGIH BARU,121,7
631,GUNUNG SUGIH BESAR,80,4
632,GUNUNG SUGIH KECIL,67,4
633,GUNUNG SUGIH RAYA,41,3
634,GUNUNG SULAH,224,14
635,GUNUNG TAPA,172,11
636,GUNUNG TAPA ILIR,172,11
637,GUNUNG TAPA TENGAH,172,11
638,GUNUNG TAPA UDIK,172,11
639,GUNUNG TERANG,1,1
640,GUNUNG TERANG,19,2
641,GUNUNG TERANG,148,10
642,GUNUNG TERANG,183,12
643,GUNUNG TERANG,211,14
644,GUNUNG TIGA,63,4
645,GUNUNG TIGA,159,10
646,GUNUNG TIGA,164,10
647,GUNUNG TIMBUL,188,12
648,GUNUNG WARAS,201,13
649,GUNUNGPEKUWON,196,13
650,GUNUNGREJO,125,7
651,GUNUNGSUGIH,2,1
652,GURING,158,10
653,HADI MULYO,114,6
654,HADIMULYO BARAT,226,15
655,HADIMULYO TIMUR,226,15
656,HADUYANG,23,2
657,HADUYANG RATU,44,3
658,HADUYANG RATU,96,5
659,HAJI PEMANGGILAN,34,3
660,HAJIMENA,23,2
661,HALANGAN RATU,118,7
662,HANAKAU,12,1
663,HANAKAU JAYA,106,5
664,HANAU BERAK,119,7
665,HANURA,122,7
666,HARA BANJAR MANIS,19,2
667,HARAPAN JAYA,112,6
668,HARAPAN JAYA,116,7
669,HARAPAN JAYA,125,7
670,HARAPAN MUKTI,113,6
671,HARAPAN REJO,51,3
672,HARGO MULYO,178,11
673,HARGO PANCURAN,26,2
674,HARGO REJO,178,11
675,HARGOMULYO,79,4
676,HATTA,16,2
677,HENI ARONG,9,1
678,HUJAN MAS,85,5
679,HUJUNG,6,1
680,HURUN,122,7
681,IBUL JAYA,97,5
682,IMOPURO,226,15
683,INDRA PUTRA SUBING,56,3
684,INDRALOKA I,189,12
685,INDRALOKA II,189,12
686,INDRALOKA JAYA,189,12
687,INDRALOKA MUKTI,189,12
688,IRINGMULYO,228,15
689,ISO REJO,96,5
690,ITIK RENDAY,73,4
691,JABUNG,67,4
692,JADIMULYO,79,4
693,JAGA RAGA,12,1
694,JAGABAYA I,224,14
695,JAGABAYA II,224,14
696,JAGABAYA III,224,14
697,JAGANG,94,5
698,JATI BARU,29,2
699,JATI DATAR MATARAM,35,3
700,JATI INDAH,29,2
701,JATI MULYO,18,2
702,JATIAGUNG,138,9
703,JAYA ASRI,74,4
704,JAYA GUNA,71,4
705,JAYA MAKMUR,167,11
706,JAYA MURNI,182,12
707,JAYA SAKTI,34,3
708,JAYA SAKTI,112,6
709,JAYA TINGGI,197,13
710,JEMBRANA,83,4
711,JEPARA,84,4
712,JERANGKANG,99,5
713,JOHARAN,47,3
714,JOJOG,76,4
715,JONDONG,19,2
