id_SMA,nama_SMA,id_kabupaten
328,SMA LEBUNG KACAH INDAH TULANG BAWANG TENGAH,11
329,SMA LENTERA HARAPAN,2
330,SMA LENTERA HARAPAN,4
331,SMA LENTERA HARAPAN BANJAR AGUNG,11
332,SMA LENTERA HARAPAN WAY PENGUBUHAN,3
333,SMA LKI,11
334,SMA LKMD ABUNG TIMUR,5
335,SMA MA`ARIF 11 LABUHAN RATU,4
336,SMA MA`ARIF 2 BANGUNREJO,3
337,SMA MA`ARIF 2 NURUL HUDA,4
338,SMA MA`ARIF 3 SEKAMPUNG UDIK,4
339,SMA MA`ARIF 4 LINGGAPURA,3
340,SMA MA`ARIF 4 SEKAMPUNG UDIK,4
341,SMA MA`ARIF PURBOLINGGO,4
342,SMA MAARIF 01 SEPUTIH BANYAK,3
343,SMA MAARIF 03,3
344,SMA MA'ARIF 1 METRO,15
345,SMA MAARIF 10 SENDANG AGUNG,3
346,SMA MA'ARIF 4,3
347,SMA MAARIF 5 PADANG RATU,3
348,SMA MA'ARIF 8,3
349,SMA MA'ARIF 9,3
350,SMA MA'ARIF NU BUMIRESTU,2
351,SMA MA'ARIF SUNGKAI UTARA,5
352,SMA MAKARTI MUKTI TAMA PAKUAN RATU,13
353,SMA MAKARTI TAMA,11
354,SMA MANBA'UL ULUM,3
355,SMA MANDALA UTAMA,11
356,SMA MATHLA`UL ANWAR SINDANG SARI,2
357,SMA MIFTAHUL ULUM,3
358,SMA MMT PLUS TANJUNG RAYA,11
359,SMA MUH 1 GUNUNG PELINDUNG,4
360,SMA MUH 1 SRIBAWONO,4
361,SMA MUH BRAJA SELEBAH,4
362,SMA MUH SEKAMPUNG,4
363,SMA MUH SEKAMPUNG UDIK,4
364,SMA MUH WAY JEPARA,4
365,SMA MUH. 1 PEKALONGAN,4
366,SMA MUH. 1 PURBOLINGGO,4
367,SMA MUHAMMADIAH 1 MENGGALA,11
368,SMA MUHAMMADIYAH 1,14
369,SMA MUHAMMADIYAH 1 BANGUN REJO,3
370,SMA MUHAMMADIYAH 1 GISTING,10
371,SMA MUHAMMADIYAH 1 MESUJI TIMUR,11
372,SMA MUHAMMADIYAH 1 METRO.,15
373,SMA MUHAMMADIYAH 1 SENDANG AGUNG,3
374,SMA MUHAMMADIYAH 1 TALANG PADANG,10
375,SMA MUHAMMADIYAH 1 TRIMURJO,3
376,SMA MUHAMMADIYAH 1 TULANG BAWANG TENGAH,11
377,SMA MUHAMMADIYAH 2,14
378,SMA MUHAMMADIYAH 2 METRO,15
379,SMA MUHAMMADIYAH GADINGREJO,10
380,SMA MUHAMMADIYAH I CANDIPURO,2
381,SMA MUHAMMADIYAH I SIDOMULYO,2
382,SMA MUHAMMADIYAH KALIREJO,3
383,SMA MUHAMMADIYAH KOTA AGUNG,10
384,SMA MUHAMMADIYAH PRINGSEWU,10
385,SMA MUHAMMADIYAH WONOREJO,2
386,SMA MUHAMMADYAH KOTABUMI,5
387,SMA MUHAMMDIYAH 1 SEPUTIH BANYAK,3
388,SMA MULIA PLUS,2
389,SMA MUTIARA NATAR,2
390,SMA N 1 ULU BELU,10
391,SMA NASIONAL TEGINENENG,2
392,SMA NEGERI 1 ABUNG SURAKARTA,5
393,SMA NEGERI 1 AMBARAWA,9
394,SMA NEGERI 1 BANYUMAS,9
395,SMA NEGERI 1 BATUPUTIH,12
396,SMA NEGERI 1 GADINGREJO,9
397,SMA NEGERI 1 GUNUNG AGUNG,12
398,SMA NEGERI 1 GUNUNG PELINDUNG,4
399,SMA NEGERI 1 GUNUNG TERANG,12
400,SMA NEGERI 1 KATIBUNG,2
401,SMA NEGERI 1 LAMBU KIBANG,12
402,SMA NEGERI 1 PAGAR DEWA,12
403,SMA NEGERI 1 PAGELARAN,9
404,SMA NEGERI 1 PARDASUKA,9
405,SMA NEGERI 1 PRINGSEWU,9
406,SMA NEGERI 1 RAWA JITU UTARA,6
407,SMA NEGERI 1 SEKAMPUNG UDIK,4
408,SMA NEGERI 1 SUKOHARJO,9
409,SMA NEGERI 1 TULANG BAWANG TENGAH,12
410,SMA NEGERI 1 TULANG BAWANG UDIK,12
411,SMA NEGERI 1 TUMIJAJAR,12
412,SMA NEGERI 1 WAY KENANGA,12
413,SMA NEGERI 2 BANGKUNAT BELIMBING,8
414,SMA NEGERI 2 GADINGREJO,9
415,SMA NEGERI 2 PRINGSEWU,9
